yearmonth,location,site,plot,category,percentcover,period
2021,Maguey,10,81,coral,0.005278592375366569,baseline
2021,Maguey,10,81,gorgonian,0.004340175953079179,baseline
2021,Maguey,10,81,algae,0.03788856304985337,baseline
2021,Maguey,10,81,other,0.007859237536656892,baseline
2021,Maguey,10,81,sponge,0.021114369501466276,baseline
2021,Maguey,10,81,sand-rubble,0.9140175953079179,baseline
2021,Maguey,10,81,tools,0.009501466275659825,baseline
2021,Maguey,10,82,coral,0.006382978723404255,baseline
2021,Maguey,10,82,gorgonian,0.0016548463356973995,baseline
2021,Maguey,10,82,algae,0.024113475177304965,baseline
2021,Maguey,10,82,other,7.092198581560284e-4,baseline
2021,Maguey,10,82,sponge,0.011583924349881796,baseline
2021,Maguey,10,82,sand-rubble,0.9470449172576832,baseline
2021,Maguey,10,82,tools,0.00851063829787234,baseline
2021,Maguey,10,83,coral,0.007844946931241348,baseline
2021,Maguey,10,83,gorgonian,0.016705122288878636,baseline
2021,Maguey,10,83,algae,0.13539455468389477,baseline
2021,Maguey,10,83,other,0.011444393170281494,baseline
2021,Maguey,10,83,sponge,0.012275034610059991,baseline
2021,Maguey,10,83,sand-rubble,0.798338717120443,baseline
2021,Maguey,10,83,tools,0.01762805722196585,baseline
2021,Maguey,10,83,zoanthid,3.691739732348869e-4,baseline
2021,Maguey,10,84,coral,0.002039911308203991,baseline
2021,Maguey,10,84,gorgonian,0.003370288248337029,baseline
2021,Maguey,10,84,algae,0.1357871396895787,baseline
2021,Maguey,10,84,other,0.0071840354767184035,baseline
2021,Maguey,10,84,sponge,0.022527716186252773,baseline
2021,Maguey,10,84,sand-rubble,0.8207538802660754,baseline
2021,Maguey,10,84,tools,0.007716186252771619,baseline
2021,Maguey,10,84,zoanthid,6.208425720620843e-4,baseline
2021,Maguey,12,53,coral,0.005622009569377991,baseline
2021,Maguey,12,53,gorgonian,0.015430622009569378,baseline
2021,Maguey,12,53,algae,0.15992822966507178,baseline
2021,Maguey,12,53,other,0.0035885167464114833,baseline
2021,Maguey,12,53,sponge,0.011961722488038277,baseline
2021,Maguey,12,53,sand-rubble,0.7801435406698565,baseline
2021,Maguey,12,53,tools,0.023205741626794257,baseline
2021,Maguey,12,53,zoanthid,1.1961722488038278e-4,baseline
2021,Maguey,12,54,coral,0.0070838252656434475,baseline
2021,Maguey,12,54,gorgonian,0.020306965761511215,baseline
2021,Maguey,12,54,algae,0.2064935064935065,baseline
2021,Maguey,12,54,other,0.007201889020070839,baseline
2021,Maguey,12,54,sponge,0.032113341204250294,baseline
2021,Maguey,12,54,sand-rubble,0.6949232585596222,baseline
2021,Maguey,12,54,tools,0.03164108618654073,baseline
2021,Maguey,12,54,zoanthid,2.361275088547816e-4,baseline
2021,Maguey,12,55,coral,0.0049382716049382715,baseline
2021,Maguey,12,55,gorgonian,0.011111111111111112,baseline
2021,Maguey,12,55,algae,0.15432098765432098,baseline
2021,Maguey,12,55,other,0.0021164021164021165,baseline
2021,Maguey,12,55,sponge,0.010582010582010581,baseline
2021,Maguey,12,55,sand-rubble,0.807936507936508,baseline
2021,Maguey,12,55,seagrass,1.763668430335097e-4,baseline
2021,Maguey,12,55,tools,0.008818342151675485,baseline
2021,Maguey,12,56,coral,0.00801564027370479,baseline
2021,Maguey,12,56,gorgonian,0.0176930596285435,baseline
2021,Maguey,12,56,algae,0.24164222873900293,baseline
2021,Maguey,12,56,other,0.005474095796676442,baseline
2021,Maguey,12,56,sponge,0.08592375366568915,baseline
2021,Maguey,12,56,sand-rubble,0.6287390029325514,baseline
2021,Maguey,12,56,tools,0.012316715542521995,baseline
2021,Maguey,12,56,zoanthid,1.9550342130987292e-4,baseline
2021,Maguey,15,61,coral,0.011494252873563218,baseline
2021,Maguey,15,61,gorgonian,0.036637931034482756,baseline
2021,Maguey,15,61,algae,0.6150862068965517,baseline
2021,Maguey,15,61,other,0.004166666666666667,baseline
2021,Maguey,15,61,sponge,0.008908045977011494,baseline
2021,Maguey,15,61,sand-rubble,0.29482758620689653,baseline
2021,Maguey,15,61,tools,0.028879310344827585,baseline
2021,Maguey,15,62,coral,0.008308895405669599,baseline
2021,Maguey,15,62,gorgonian,0.015542521994134898,baseline
2021,Maguey,15,62,algae,0.3947214076246334,baseline
2021,Maguey,15,62,other,0.009286412512218964,baseline
2021,Maguey,15,62,sponge,0.11505376344086021,baseline
2021,Maguey,15,62,sand-rubble,0.4355816226783969,baseline
2021,Maguey,15,62,tools,0.021309872922776148,baseline
2021,Maguey,15,62,zoanthid,1.9550342130987292e-4,baseline
2021,Maguey,15,63,coral,0.014639905548996458,baseline
2021,Maguey,15,63,gorgonian,0.05277449822904368,baseline
2021,Maguey,15,63,algae,0.35537190082644626,baseline
2021,Maguey,15,63,other,0.0037780401416765055,baseline
2021,Maguey,15,63,sponge,0.03990554899645809,baseline
2021,Maguey,15,63,sand-rubble,0.5250295159386068,baseline
2021,Maguey,15,63,tools,0.008382526564344746,baseline
2021,Maguey,15,63,zoanthid,1.180637544273908e-4,baseline
2021,Maguey,15,64,coral,0.014462809917355372,baseline
2021,Maguey,15,64,gorgonian,0.03815426997245179,baseline
2021,Maguey,15,64,algae,0.12988980716253443,baseline
2021,Maguey,15,64,other,0.002066115702479339,baseline
2021,Maguey,15,64,sponge,0.026859504132231406,baseline
2021,Maguey,15,64,sand-rubble,0.778099173553719,baseline
2021,Maguey,15,64,tools,0.010192837465564738,baseline
2021,Maguey,15,64,zoanthid,2.754820936639118e-4,baseline
2021,Maguey,17,89,coral,0.006363636363636364,baseline
2021,Maguey,17,89,gorgonian,0.021477272727272727,baseline
2021,Maguey,17,89,algae,0.10943181818181819,baseline
2021,Maguey,17,89,other,0.005,baseline
2021,Maguey,17,89,sponge,0.05409090909090909,baseline
2021,Maguey,17,89,sand-rubble,0.7879545454545455,baseline
2021,Maguey,17,89,tools,0.01534090909090909,baseline
2021,Maguey,17,89,zoanthid,3.4090909090909094e-4,baseline
2021,Maguey,17,90,coral,0.0051822573561704,baseline
2021,Maguey,17,90,gorgonian,0.011067193675889328,baseline
2021,Maguey,17,90,algae,0.21589811155028546,baseline
2021,Maguey,17,90,other,0.006587615283267457,baseline
2021,Maguey,17,90,sponge,0.034079929732103643,baseline
2021,Maguey,17,90,sand-rubble,0.7068072024593763,baseline
2021,Maguey,17,90,tools,0.02002635046113307,baseline
2021,Maguey,17,90,zoanthid,3.513394817742644e-4,baseline
2021,Maguey,17,91,coral,0.00930909090909091,baseline
2021,Maguey,17,91,gorgonian,0.009454545454545455,baseline
2021,Maguey,17,91,algae,0.06749090909090909,baseline
2021,Maguey,17,91,other,0.008581818181818182,baseline
2021,Maguey,17,91,sponge,0.052945454545454546,baseline
2021,Maguey,17,91,sand-rubble,0.8440727272727273,baseline
2021,Maguey,17,91,tools,0.007854545454545454,baseline
2021,Maguey,17,91,zoanthid,2.909090909090909e-4,baseline
2021,Maguey,17,92,coral,0.0026246719160104987,baseline
2021,Maguey,17,92,gorgonian,0.004724409448818898,baseline
2021,Maguey,17,92,algae,0.08766404199475065,baseline
2021,Maguey,17,92,other,0.008661417322834646,baseline
2021,Maguey,17,92,sponge,0.02073490813648294,baseline
2021,Maguey,17,92,sand-rubble,0.8551181102362204,baseline
2021,Maguey,17,92,tools,0.02020997375328084,baseline
2021,Maguey,17,92,zoanthid,2.6246719160104987e-4,baseline
2021,Maguey,28,73,coral,0.01265597147950089,baseline
2021,Maguey,28,73,gorgonian,0.06149732620320856,baseline
2021,Maguey,28,73,algae,0.4925133689839572,baseline
2021,Maguey,28,73,other,0.07183600713012478,baseline
2021,Maguey,28,73,sponge,0.00837789661319073,baseline
2021,Maguey,28,73,sand-rubble,0.3076648841354724,baseline
2021,Maguey,28,73,seagrass,5.347593582887701e-4,baseline
2021,Maguey,28,73,tools,0.044919786096256686,baseline
2021,Maguey,28,74,coral,0.006561859193438141,baseline
2021,Maguey,28,74,gorgonian,0.018865345181134655,baseline
2021,Maguey,28,74,algae,0.4654818865345181,baseline
2021,Maguey,28,74,other,0.0028708133971291866,baseline
2021,Maguey,28,74,sponge,0.08298017771701982,baseline
