yearmonth,location,site,plot,cluster2,inside,outside,area
2021,Maguey,8,70,0,0,0,151
2021,Maguey,8,71,0,0,0,187
2021,Maguey,8,72,0,0,0,189
2021,Maguey,10,81,0,0,0,162
2021,Maguey,10,82,11,14,29,170
2021,Maguey,10,83,0,0,0,166
2021,Maguey,10,84,0,0,0,193
2021,Maguey,12,53,0,0,0,204
2021,Maguey,12,54,0,0,0,192
2021,Maguey,12,55,0,0,0,204
2021,Maguey,12,56,0,0,0,207
2021,Maguey,15,61,8,1,1,183
2021,Maguey,15,62,7,23,0,195
2021,Maguey,15,63,0,0,0,176
2021,Maguey,15,64,0,0,0,158
2021,Maguey,17,89,0,0,0,188
2021,Maguey,17,90,0,0,0,170
2021,Maguey,17,91,2,4,1,157
2021,Maguey,17,92,0,0,0,163
2021,Maguey,28,73,3,7,4,132
2021,Maguey,28,74,1,3,0,172
2021,Maguey,28,76,0,0,0,164
2021,Maguey,38,57,0,0,0,197
2021,Maguey,38,58,0,0,0,159
2021,Maguey,38,59,0,0,0,184
2021,Maguey,38,60,0,0,0,136
2021,Maguey,43,65,0,0,0,167
2021,Maguey,43,66,6,9,1,158
2021,Maguey,43,67,0,0,0,147
2021,Maguey,43,68,2,1,2,166
2021,Maguey,45,85,0,0,0,172
2021,Maguey,45,87,0,0,0,163
2021,Maguey,45,88,6,4,4,167
2021,Maguey,48,49,0,0,0,233
2021,Maguey,48,50,0,0,0,160
2021,Maguey,48,51,0,0,0,168
2021,Maguey,48,52,0,0,0,198
2021,Maguey,73,77,27,93,43,147
2021,Maguey,73,78,16,35,15,145
2021,Maguey,73,79,21,22,3,173
2021,Maguey,74,93,8,18,0,176
2021,Maguey,74,94,8,12,18,168
2021,Maguey,74,95,14,42,48,204
2021,Maguey,74,96,21,74,39,179
2021,Tampico,1,14,0,NA,NA,173
2021,Tampico,1,15,12,24,8,174
2021,Tampico,1,16,0,NA,NA,139
2021,Tampico,4,5,0,NA,NA,164
2021,Tampico,4,6,0,NA,NA,158
2021,Tampico,4,7,3,3,0,156
2021,Tampico,4,8,0,NA,NA,142
